J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,SAMPLE 
6,7,9,7,6,6,6,8,6,5,6,9,5,2,8,6,6,5,6,6,5,6,6,7,6,8,6,8,9,12703
4,4,4,4,4,3,4,4,3,4,5,6,5,4,3,4,5,3,3,6,2,4,4,4,4,4,2,4,4,12703
5,5,3,4,3,6,6,5,4,5,5,5,5,4,6,5,2,5,5,4,4,5,4,5,6,4,5,5,5,12703
8,7,7,7,8,7,8,8,7,8,9,6,9,9,7,7,9,7,7,8,8,8,7,6,7,6,7,8,6,12703
5,3,5,7,4,6,6,4,6,6,8,4,6,8,6,6,4,6,4,4,6,6,4,5,6,4,7,4,5,12703
6,6,6,5,8,7,6,6,7,7,8,7,6,8,6,7,5,7,7,6,7,7,7,6,8,6,4,11,6,12703
7,5,5,5,6,6,7,6,5,4,5,5,5,3,7,5,8,6,6,6,6,5,3,5,5,6,4,6,6,12703
8,10,8,9,7,10,11,7,9,7,8,8,11,11,8,11,6,10,10,6,9,10,10,8,11,9,11,6,7,12703
5,6,4,3,6,4,6,4,5,5,3,4,5,5,7,5,3,6,6,5,2,4,5,5,6,5,2,4,3,12703
4,4,5,7,4,1,3,2,5,1,1,6,2,6,5,3,6,2,1,1,4,1,2,4,1,4,1,3,3,12703
8,11,9,9,9,9,9,7,8,7,9,9,9,11,9,9,8,10,10,11,10,9,8,8,9,9,10,8,7,12703
11,9,11,9,9,11,11,7,11,8,9,11,10,8,9,10,8,11,11,6,9,9,11,8,11,10,10,6,7,12703
6,3,5,3,4,5,5,4,5,3,4,3,5,6,5,2,4,4,3,3,3,4,4,2,4,3,5,5,3,12703
3,5,5,3,5,4,4,4,5,6,4,5,5,5,3,4,7,5,5,5,1,5,5,4,4,2,3,3,5,12703
5,6,6,5,6,6,7,7,6,6,7,5,6,5,6,7,8,6,5,6,7,6,6,6,7,6,6,6,6,12703
5,5,7,5,6,6,5,8,6,4,7,7,6,7,6,6,10,5,7,4,7,7,5,6,6,6,8,7,6,12703
6,6,4,5,5,6,7,6,4,5,5,5,6,4,6,5,6,6,4,4,5,5,5,5,5,4,6,5,6,12703
6,4,4,4,5,4,5,3,4,4,4,3,4,4,3,4,6,3,5,5,3,4,3,3,4,4,3,4,5,12703
1,4,5,3,3,6,4,7,5,6,6,5,5,8,5,5,3,4,5,3,6,6,4,5,6,5,6,6,5,12703
3,4,3,4,5,5,4,5,5,6,5,4,7,4,2,4,4,4,4,3,6,5,4,4,5,3,4,4,2,12703
6,8,11,5,7,7,6,7,7,8,6,7,8,7,7,7,6,6,7,7,7,7,7,7,6,5,3,9,6,12703
7,5,5,7,6,6,5,6,6,6,5,5,7,6,8,6,7,6,7,8,6,5,7,6,7,8,4,7,7,12703
4,7,6,3,6,5,4,5,5,6,6,4,7,6,4,4,5,7,5,9,6,6,5,6,4,5,7,3,5,12703
7,8,8,8,10,9,9,9,7,10,7,10,9,7,9,9,7,8,8,10,8,9,8,9,7,10,8,7,7,12703
5,6,5,6,6,6,5,5,7,7,7,4,7,9,6,6,2,6,6,7,7,7,5,5,6,6,7,6,6,12703
5,1,3,7,2,1,2,1,3,2,2,2,1,6,3,2,5,1,1,2,4,2,2,3,2,1,5,2,4,12703
7,6,6,7,10,8,10,9,7,9,7,9,7,7,11,8,8,7,7,9,6,7,9,10,8,11,9,9,8,12703
5,6,6,7,6,6,5,6,7,7,7,5,6,8,5,6,5,6,6,6,7,6,6,5,6,6,6,11,6,12703
10,8,7,8,7,8,7,9,8,7,11,8,7,7,7,8,9,8,8,7,8,8,7,7,8,7,7,8,9,12703
8,7,8,7,11,8,8,8,8,8,11,7,8,7,7,7,9,8,7,8,7,7,7,7,7,7,8,7,9,12703
4,5,5,6,6,6,6,4,6,6,7,4,7,9,6,6,3,5,6,7,6,6,5,5,6,6,8,6,5,12703
6,4,3,5,4,4,4,1,4,3,2,3,2,6,5,4,4,2,3,3,3,3,3,3,2,3,5,3,4,12703
3,3,4,1,4,3,6,3,4,5,3,6,6,6,1,5,2,3,2,5,4,5,4,4,3,3,5,1,3,12703
